"fips","year","variable_name","value","dimension","index","indicator","metric"
"34","2021","percDailyFruitLessThanOne","35.7","health","physical health","nutritious diets","Percent low daily fruit consumption"
"34","2021","percDailyVegLessThanOne","21.9","health","physical health","nutritious diets","Percent low daily vegetable consumption"
"36","2017","percDailyFruitLessThanOne","33.5","health","physical health","nutritious diets","Percent low daily fruit consumption"
"36","2017","percDailyVegLessThanOne","20.3","health","physical health","nutritious diets","Percent low daily vegetable consumption"
"36","2019","percDailyVegLessThanOne","21.7","health","physical health","nutritious diets","Percent low daily vegetable consumption"
"36","2019","percDailyFruitLessThanOne","34.7","health","physical health","nutritious diets","Percent low daily fruit consumption"
"36","2021","percDailyFruitLessThanOne","36.5","health","physical health","nutritious diets","Percent low daily fruit consumption"
"36","2021","percDailyVegLessThanOne","21.5","health","physical health","nutritious diets","Percent low daily vegetable consumption"
"42","2017","percDailyFruitLessThanOne","34.1","health","physical health","nutritious diets","Percent low daily fruit consumption"
"42","2017","percDailyVegLessThanOne","16.4","health","physical health","nutritious diets","Percent low daily vegetable consumption"
"42","2019","percDailyFruitLessThanOne","38","health","physical health","nutritious diets","Percent low daily fruit consumption"
"42","2019","percDailyVegLessThanOne","19.8","health","physical health","nutritious diets","Percent low daily vegetable consumption"
