"fips","year","variable_name","value","dimension","index","indicator","metric"
"25","2021","percDailyVegLessThanOne","17.2","health","physical health","nutritious diets","Percent low daily vegetable consumption"
"25","2021","percDailyFruitLessThanOne","36.7","health","physical health","nutritious diets","Percent low daily fruit consumption"
"33","2017","percDailyFruitLessThanOne","30.3","health","physical health","nutritious diets","Percent low daily fruit consumption"
"33","2017","percDailyVegLessThanOne","13.7","health","physical health","nutritious diets","Percent low daily vegetable consumption"
"33","2019","percDailyVegLessThanOne","16","health","physical health","nutritious diets","Percent low daily vegetable consumption"
"33","2019","percDailyFruitLessThanOne","35.7","health","physical health","nutritious diets","Percent low daily fruit consumption"
"33","2021","percDailyFruitLessThanOne","36.1","health","physical health","nutritious diets","Percent low daily fruit consumption"
"33","2021","percDailyVegLessThanOne","15.6","health","physical health","nutritious diets","Percent low daily vegetable consumption"
"34","2017","percDailyVegLessThanOne","19.1","health","physical health","nutritious diets","Percent low daily vegetable consumption"
"34","2017","percDailyFruitLessThanOne","33.7","health","physical health","nutritious diets","Percent low daily fruit consumption"
"34","2019","percDailyVegLessThanOne",NA,"health","physical health","nutritious diets","Percent low daily vegetable consumption"
"34","2019","percDailyFruitLessThanOne",NA,"health","physical health","nutritious diets","Percent low daily fruit consumption"
